order_id,anomaly_type,description
147479,void_after_payment,Paid order voided with weak reason
121532,void_after_payment,Paid order voided with weak reason
141042,void_after_payment,Paid order voided with weak reason
109389,void_after_payment,Paid order voided with weak reason
157293,void_after_payment,Paid order voided with weak reason
129018,void_after_payment,Paid order voided with weak reason
100041,void_after_payment,Paid order voided with weak reason
113596,void_after_payment,Paid order voided with weak reason
110027,void_after_payment,Paid order voided with weak reason
148543,void_after_payment,Paid order voided with weak reason
134688,void_after_payment,Paid order voided with weak reason
122792,void_after_payment,Paid order voided with weak reason
152073,void_after_payment,Paid order voided with weak reason
133883,void_after_payment,Paid order voided with weak reason
152305,void_after_payment,Paid order voided with weak reason
101526,void_after_payment,Paid order voided with weak reason
128221,void_after_payment,Paid order voided with weak reason
119909,void_after_payment,Paid order voided with weak reason
105732,void_after_payment,Paid order voided with weak reason
119474,void_after_payment,Paid order voided with weak reason
157384,void_after_payment,Paid order voided with weak reason
161682,void_after_payment,Paid order voided with weak reason
131737,void_after_payment,Paid order voided with weak reason
117026,void_after_payment,Paid order voided with weak reason
147354,void_after_payment,Paid order voided with weak reason
135005,void_after_payment,Paid order voided with weak reason
160172,void_after_payment,Paid order voided with weak reason
127209,void_after_payment,Paid order voided with weak reason
126010,void_after_payment,Paid order voided with weak reason
115326,void_after_payment,Paid order voided with weak reason
148423,void_after_payment,Paid order voided with weak reason
144096,void_after_payment,Paid order voided with weak reason
139329,void_after_payment,Paid order voided with weak reason
152579,void_after_payment,Paid order voided with weak reason
127579,void_after_payment,Paid order voided with weak reason
128285,void_after_payment,Paid order voided with weak reason
145363,void_after_payment,Paid order voided with weak reason
136367,void_after_payment,Paid order voided with weak reason
159318,void_after_payment,Paid order voided with weak reason
150184,void_after_payment,Paid order voided with weak reason
124356,void_after_payment,Paid order voided with weak reason
133235,void_after_payment,Paid order voided with weak reason
106413,void_after_payment,Paid order voided with weak reason
162096,void_after_payment,Paid order voided with weak reason
161512,void_after_payment,Paid order voided with weak reason
125206,void_after_payment,Paid order voided with weak reason
116514,void_after_payment,Paid order voided with weak reason
153208,void_after_payment,Paid order voided with weak reason
149624,void_after_payment,Paid order voided with weak reason
144438,void_after_payment,Paid order voided with weak reason
102993,void_after_payment,Paid order voided with weak reason
150360,void_after_payment,Paid order voided with weak reason
138118,void_after_payment,Paid order voided with weak reason
131702,void_after_payment,Paid order voided with weak reason
140552,void_after_payment,Paid order voided with weak reason
150241,void_after_payment,Paid order voided with weak reason
115850,void_after_payment,Paid order voided with weak reason
103068,void_after_payment,Paid order voided with weak reason
147364,void_after_payment,Paid order voided with weak reason
102617,void_after_payment,Paid order voided with weak reason
119541,void_after_payment,Paid order voided with weak reason
153158,void_after_payment,Paid order voided with weak reason
137721,void_after_payment,Paid order voided with weak reason
133675,void_after_payment,Paid order voided with weak reason
154459,void_after_payment,Paid order voided with weak reason
141404,void_after_payment,Paid order voided with weak reason
125627,void_after_payment,Paid order voided with weak reason
153654,void_after_payment,Paid order voided with weak reason
151662,void_after_payment,Paid order voided with weak reason
101726,void_after_payment,Paid order voided with weak reason
103983,void_after_payment,Paid order voided with weak reason
103845,void_after_payment,Paid order voided with weak reason
158204,void_after_payment,Paid order voided with weak reason
147609,void_after_payment,Paid order voided with weak reason
159058,void_after_payment,Paid order voided with weak reason
152193,void_after_payment,Paid order voided with weak reason
118674,void_after_payment,Paid order voided with weak reason
110918,void_after_payment,Paid order voided with weak reason
120349,void_after_payment,Paid order voided with weak reason
118742,void_after_payment,Paid order voided with weak reason
105412,void_after_payment,Paid order voided with weak reason
146757,void_after_payment,Paid order voided with weak reason
111774,void_after_payment,Paid order voided with weak reason
162338,void_after_payment,Paid order voided with weak reason
132271,void_after_payment,Paid order voided with weak reason
125521,void_after_payment,Paid order voided with weak reason
110182,void_after_payment,Paid order voided with weak reason
132508,void_after_payment,Paid order voided with weak reason
154008,void_after_payment,Paid order voided with weak reason
123008,void_after_payment,Paid order voided with weak reason
108940,void_after_payment,Paid order voided with weak reason
148296,void_after_payment,Paid order voided with weak reason
127252,void_after_payment,Paid order voided with weak reason
123510,void_after_payment,Paid order voided with weak reason
113291,suspicious_discount,Discount 85.0% (>70% threshold)
161778,suspicious_discount,Discount 90.0% (>70% threshold)
105901,suspicious_discount,Discount 85.0% (>70% threshold)
162482,suspicious_discount,Discount 95.0% (>70% threshold)
128188,suspicious_discount,Discount 75.0% (>70% threshold)
138907,suspicious_discount,Discount 75.0% (>70% threshold)
161539,suspicious_discount,Discount 90.0% (>70% threshold)
